tag,real_tag,server,description,name,unit,measurement_type,process,area,sub_area,section,equipment,data_type,derived,quality_score,profit_type,tag_type,target,recommend,s0_feature,s1_feature,s2_feature,s3_feature,s4_feature,s5_feature,s6_feature,s7_feature,s8_feature,s9_feature,s10_feature,s11_feature,s12_feature,s13_feature,s14_feature,s15_feature,s16_feature,s17_feature,fa0l1_feature,fa0l2_feature,fa1l1_feature,fa1l2_feature,fa2l1_feature,fa2l2_feature,fa2l3_feature,fa2lg_feature,range_min,range_max,op_min,op_max,min_delta,max_delta_down,max_delta,on_off_dependencies,constraint_set,round_val,comentarios,dist_count,dist_mean,dist_std,dist_min,dist_2%,dist_10%,dist_20%,dist_50%,dist_80%,dist_90%,dist_98%,dist_max,dif_count,dif_mean,dif_std,dif_min,dif_2%,dif_10%,dif_20%,dif_50%,dif_70%,dif_80%,dif_90%,dif_98%,dif_max
ma2_3hic105,MA2:3HIC105,CNCHPI02,velocidad feeder 3 sag-16,velocidad feeder 3 sag-16,%,velocidad feeder,molienda,MA2,SAG 16,S16,SAG 16,numeric,0.0,,,control,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.0,0.0,0.0,0.0,,,2.0,100.0,,20.0,20.0,"on_off_linea_16, on_off_m_A2",,,medida se corrige el hecho de medicion cuando feeder off <>0,19772.0,31.501321143901528,29.307721872766585,0.0,0.0,0.0,0.0,29.73375,58.21066666666668,73.17819444444447,95.85499444444443,100.0,4943.0,7.2505959811630705,10.409661644239833,0.0,0.0,0.0,0.0,3.016180555555555,8.123694444444448,12.690166666666675,20.80218055555556,39.76312222222219,94.18472222222223
ma2_3hic106,MA2:3HIC106,CNCHPI02,velocidad feeder 4 sag-16,velocidad feeder 4 sag-16,%,velocidad feeder,molienda,MA2,SAG 16,S16,SAG 16,numeric,0.0,,,control,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.0,0.0,0.0,0.0,,,2.0,100.0,,20.0,20.0,"on_off_linea_16, on_off_m_A2",,,medida se corrige el hecho de medicion cuando feeder off <>0,19772.0,70.7820722064873,28.02133900275373,0.0,0.0,24.87311111111111,53.73033333333334,79.0,94.17205555555556,98.0398611111111,100.0,100.0,4943.0,8.338659037096981,10.64066473317784,0.0,0.0,0.0,0.6789722222222225,4.769652777777779,9.758527777777752,13.55818055555556,20.930611111111123,40.75153333333333,89.71791666666668
ma2_3hic107,MA2:3HIC107,CNCHPI02,velocidad feeder 5 sag-16,velocidad feeder 5 sag-16,%,velocidad feeder,molienda,MA2,SAG 16,S16,SAG 16,numeric,0.0,,,control,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.0,0.0,0.0,0.0,,,2.0,100.0,,20.0,20.0,"on_off_linea_16, on_off_m_A2",,,medida se corrige el hecho de medicion cuando feeder off <>0,19772.0,51.544461514037806,35.687161805100715,0.0,0.0,0.0,0.0,54.44875,90.11433333333332,97.49294444444445,100.0,100.0,4943.0,8.183761866762575,11.360150890561949,0.0,0.0,0.0,0.0,3.669722222222205,9.305666666666678,14.339472222222236,22.93495833333333,42.159344444444436,90.70166666666668
ma2_3hic205,MA2:3HIC205,CNCHPI02,velocidad feeder 6 sag-17,velocidad feeder 6 sag-17,%,velocidad feeder,molienda,MA2,SAG 17,S17,SAG 17,numeric,0.0,,,control,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.0,0.0,0.0,0.0,,,2.0,100.0,,20.0,20.0,"on_off_linea_17, on_off_m_A2",,,medida se corrige el hecho de medicion cuando feeder off <>0,19772.0,34.60294940297587,30.093489885208093,0.0,0.0,0.0,0.0,31.613055555555558,59.86816666666668,82.05197222222223,100.0,100.0,4943.0,6.952861803912753,10.761483796844674,0.0,0.0,0.0,0.0,2.3735416666666613,7.4574166666666555,11.844902777777786,20.958375,38.90105555555557,93.578125
ma2_3hic206,MA2:3HIC206,CNCHPI02,velocidad feeder 7 sag-17,velocidad feeder 7 sag-17,%,velocidad feeder,molienda,MA2,SAG 17,S17,SAG 17,numeric,0.0,,,control,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.0,0.0,0.0,0.0,,,2.0,100.0,,20.0,20.0,"on_off_linea_17, on_off_m_A2",,,medida se corrige el hecho de medicion cuando feeder off <>0,19772.0,71.43077606073152,26.784515704089394,0.0,0.0,33.60861111111111,55.40716666666667,79.15166666666667,93.1625,97.03008333333334,99.76393333333334,100.0,4943.0,8.141985195196161,10.42564031719018,0.0,0.0,0.0,0.9204722222222216,4.899166666666659,9.135416666666657,12.716208333333334,19.708291666666668,40.705736111111115,92.77430555555556
ma2_3hic207,MA2:3HIC207,CNCHPI02,velocidad feeder 8 sag-17,velocidad feeder 8 sag-17,%,velocidad feeder,molienda,MA2,SAG 17,S17,SAG 17,numeric,0.0,,,control,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.0,0.0,0.0,0.0,,,2.0,100.0,,20.0,20.0,"on_off_linea_17, on_off_m_A2",,,medida se corrige el hecho de medicion cuando feeder off <>0,19772.0,44.91476531127915,35.8410188285854,0.0,0.0,0.0,0.0,45.904305555555574,83.98977777777776,94.39275,99.92603888888893,100.0,4943.0,7.457086667640734,10.753287248403756,0.0,0.0,0.0,0.0,3.184444444444445,8.458124999999987,12.787416666666665,20.94390277777779,41.36905833333332,88.32638888888891
ma2_3hic411,MA2:3HIC411,CNCHPI02,velocidad correa ct-025,,%,velocidad correa,molienda,MA2,SAG 16,S16,SAG 16,numeric,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,medida fija en 98%,,,,,,,,,,,,,,,,,,,,,,,,,
ma2_3hic422,MA2:3HIC422,CNCHPI02,velocidad correa ct-026,,%,velocidad correa,molienda,MA2,SAG 17,S17,SAG 17,numeric,0.0,,,state,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,medida fija en 98%,,,,,,,,,,,,,,,,,,,,,,,,,
ma2_3hic720_op,MA2:3HIC720.OP,CNCHPI02,velocidad bomba bhc 16a,,%,velocidad bomba,molienda,MA2,BM 16A,S16,BHC 16A,numeric,0.0,,MV,reaction,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,"on_off_bm_16a, on_off_linea_16, on_off_m_A2",,,representa el valor de la velocidad de bomba que opera 1 por bhc de 2 posible (bombas 36 a 43),16949.0,79.3006182093196,4.248350475484507,0.6993909555555555,70.00031,74.0,76.42340650777777,79.633590775,82.13671541055558,83.8429381483877,87.68171724277866,100.0,4236.0,1.3310225029026834,1.70428759601511,0.0,0.0,0.025572562499981192,0.16533885624997424,0.8129889357638831,1.4870061715277745,2.0439410702387453,3.1978652871527733,6.433450227152804,25.83642472245371
ma2_3hic730_op,MA2:3HIC730.OP,CNCHPI02,velocidad bomba bhc bm-16b,,%,velocidad bomba,molienda,MA2,BM 16B,S16,BHC 16B,numeric,0.0,,MV,reaction,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,1.0,,,,,,,,"on_off_bm_16b, on_off_linea_16, on_off_m_A2",,,representa el valor de la velocidad de bomba que opera 1 por bhc de 2 posible,16949.0,79.1218890146829,4.162328357131864,0.7010915222222223,70.00031,73.49704402444446,76.10326974055556,79.17880449295043,82.00018,83.90149,88.43051544189453,100.0,4236.0,1.3146873669911658,1.6444321994221611,0.0,0.0,0.02184215729167249,0.15786210138888634,0.8103427379787647,1.5295019555555456,2.0291142701388907,3.1895919104166737,6.289884936319449,25.15888362314815
